protocol,region,species_id,taxon_group,seed,n_presence,n_PA_test,lambda_s,lambda_selection,lambda_source,background_scheme,objective,remediation,integration_support,n_background,model,converged,runtime_s,skip_reason,auc_roc,auprc,prg,cor,pos_weight,maxnet_max_bg,maxnet_bg_n,tgb_tgb_group,tgb_tgb_n_other_sites,tgb_tgb_n_used,tgb_tgb_excludes_focal_presence
tgb_closure_v1,NSW,nsw09,db,0,426,702,1.0,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,maxnet_default,primary,tgb_other_po_same_group,1087,maxnet_bg50k,True,2.6570544069982134,,0.6624623376623376,0.1579782262431964,0.357738865326207,0.16387245179142845,,50000.0,1087.0,db,1087.0,1087.0,True
tgb_closure_v1,NSW,nsw14,db,0,315,702,0.01,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,ipp,primary,full_background_50k,50000,additive_kan_ipp,True,4.459146240988048,,0.6493610865546894,0.3380172655299304,0.30127450311818604,0.22475602255373223,,,,,,,
tgb_closure_v1,NSW,nsw14,db,0,315,702,0.01,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,ipp,primary,full_background_50k,50000,gam_ipp_same_basis,True,10.361179902989534,,0.649223315461361,0.33792613442272446,0.300870989716804,0.22348379686064437,,,,,,,
tgb_closure_v1,NSW,nsw14,db,0,315,702,0.01,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,bce_pos_weight,primary,full_background_50k,50000,additive_kan_bce,True,4.93249515601201,,0.6566285117277643,0.3316225851155647,0.3158070667209439,0.20128397737239623,158.73015873015873,,,,,,
tgb_closure_v1,NSW,nsw14,db,0,315,702,0.01,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,maxnet_default,primary,full_background_50k,50000,maxnet_bg10k,True,12.52809478600102,,0.657478100136623,0.3313599496171642,0.3134480205670177,0.2358337970276089,,10000.0,10000.0,,,,
tgb_closure_v1,NSW,nsw14,db,0,315,702,0.01,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,maxnet_default,primary,full_background_50k,50000,maxnet_bg50k,True,64.30022001400357,,0.6646192351408136,0.3424173350711747,0.3231598729927216,0.24364701539389944,,50000.0,50000.0,,,,
tgb_closure_v1,NSW,nsw14,db,0,315,702,0.01,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,ipp,primary,tgb_other_po_same_group,1198,additive_kan_ipp,True,0.63286170399806,,0.7671898141238331,0.43359727081991173,0.5454517300326519,0.28618853270782024,,,,db,1198.0,1198.0,True
tgb_closure_v1,NSW,nsw14,db,0,315,702,0.01,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,ipp,primary,tgb_other_po_same_group,1198,gam_ipp_same_basis,True,4.414417168998625,,0.7663861494127506,0.43396541967092483,0.5439814140307236,0.2878463894109546,,,,db,1198.0,1198.0,True
tgb_closure_v1,NSW,nsw14,db,0,315,702,0.01,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,bce_pos_weight,primary,tgb_other_po_same_group,1198,additive_kan_bce,True,0.7083621740021044,,0.7530453152087807,0.4252766395000574,0.5165417114516939,0.26713728316475294,3.803174603174603,,,db,1198.0,1198.0,True
tgb_closure_v1,NSW,nsw14,db,0,315,702,0.01,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,maxnet_default,primary,tgb_other_po_same_group,1198,maxnet_bg10k,True,2.579438806991675,,0.8138712529132845,0.48972231561144436,0.6498145604390068,0.40391329335503834,,10000.0,1198.0,db,1198.0,1198.0,True
