region,species_id,lambda_s,lambda_path,n_presence
NSW,nsw09,1.0,po_random_5fold,426
NSW,nsw10,1.0,po_random_5fold,65
NSW,nsw11,1.0,po_random_5fold,48
NSW,nsw12,0.1,po_random_5fold,139
NSW,nsw13,1.0,po_random_5fold,155
NSW,nsw14,0.01,po_random_5fold,315
NSW,nsw15,0.01,po_random_5fold,236
NSW,nsw16,1.0,po_random_5fold,120
NSW,nsw17,0.1,po_random_5fold,148
NSW,nsw18,0.1,po_random_5fold,69
NSW,nsw19,1.0,po_random_5fold,47
NSW,nsw20,0.01,frozen_n_po_lt_30,18
NSW,nsw21,0.0001,po_random_5fold,37
NSW,nsw22,0.01,frozen_n_po_lt_30,17
NSW,nsw23,1.0,po_random_5fold,60
NSW,nsw24,1.0,po_random_5fold,68
NSW,nsw25,0.01,frozen_n_po_lt_30,23
NSW,nsw26,0.01,frozen_n_po_lt_30,10
NSW,nsw27,0.01,frozen_n_po_lt_30,23
NSW,nsw28,1.0,po_random_5fold,53
NSW,nsw29,0.01,frozen_n_po_lt_30,12
NSW,nsw30,0.01,skipped_n_po_lt_5,2
NSW,nsw31,0.01,frozen_n_po_lt_30,24
NSW,nsw32,0.01,frozen_n_po_lt_30,28
NSW,nsw33,0.01,frozen_n_po_lt_30,15
NSW,nsw34,0.01,frozen_n_po_lt_30,6
NSW,nsw35,0.01,frozen_n_po_lt_30,6
NSW,nsw36,0.01,frozen_n_po_lt_30,7
NSW,nsw37,0.01,frozen_n_po_lt_30,6
NSW,nsw38,0.01,frozen_n_po_lt_30,9
NSW,nsw39,0.01,frozen_n_po_lt_30,16
NSW,nsw40,0.01,frozen_n_po_lt_30,14
NSW,nsw41,0.01,frozen_n_po_lt_30,5
NSW,nsw42,0.01,frozen_n_po_lt_30,11
NSW,nsw43,0.1,po_random_5fold,42
NSW,nsw44,0.01,frozen_n_po_lt_30,16
NSW,nsw45,0.01,frozen_n_po_lt_30,22
NSW,nsw46,0.01,frozen_n_po_lt_30,14
NSW,nsw47,0.1,po_random_5fold,41
NSW,nsw48,1.0,po_random_5fold,79
NSW,nsw49,0.1,po_random_5fold,110
NSW,nsw50,1.0,po_random_5fold,44
NSW,nsw51,1.0,po_random_5fold,63
NSW,nsw52,1.0,po_random_5fold,186
NSW,nsw53,0.1,po_random_5fold,34
NSW,nsw54,1.0,po_random_5fold,118
NZ,nz01,0.01,frozen_n_po_lt_30,23
NZ,nz02,0.0001,po_random_5fold,80
NZ,nz03,0.01,po_random_5fold,32
NZ,nz04,0.1,po_random_5fold,48
NZ,nz05,0.1,po_random_5fold,211
NZ,nz06,0.01,po_random_5fold,35
NZ,nz07,0.1,po_random_5fold,65
NZ,nz08,1.0,po_random_5fold,124
NZ,nz09,1.0,po_random_5fold,36
NZ,nz10,0.01,frozen_n_po_lt_30,27
NZ,nz11,0.01,frozen_n_po_lt_30,21
NZ,nz12,0.01,frozen_n_po_lt_30,25
NZ,nz13,0.01,frozen_n_po_lt_30,21
NZ,nz14,0.01,frozen_n_po_lt_30,19
NZ,nz15,0.0001,po_random_5fold,32
NZ,nz16,1.0,po_random_5fold,40
NZ,nz17,0.1,po_random_5fold,94
NZ,nz18,1.0,po_random_5fold,43
NZ,nz19,0.1,po_random_5fold,127
NZ,nz20,0.01,po_random_5fold,33
NZ,nz21,0.01,frozen_n_po_lt_30,21
NZ,nz22,0.0001,po_random_5fold,130
NZ,nz23,0.01,frozen_n_po_lt_30,23
NZ,nz24,0.01,frozen_n_po_lt_30,22
NZ,nz25,0.1,po_random_5fold,113
NZ,nz26,0.01,frozen_n_po_lt_30,22
NZ,nz27,0.1,po_random_5fold,40
NZ,nz28,0.01,frozen_n_po_lt_30,18
NZ,nz29,0.01,frozen_n_po_lt_30,21
NZ,nz30,1.0,po_random_5fold,101
NZ,nz31,0.0001,po_random_5fold,47
NZ,nz32,0.1,po_random_5fold,105
NZ,nz33,0.01,frozen_n_po_lt_30,19
NZ,nz34,1.0,po_random_5fold,42
NZ,nz35,0.01,frozen_n_po_lt_30,24
NZ,nz36,0.001,po_random_5fold,170
NZ,nz37,0.01,frozen_n_po_lt_30,22
NZ,nz38,0.001,po_random_5fold,147
NZ,nz39,0.01,frozen_n_po_lt_30,21
NZ,nz40,0.01,frozen_n_po_lt_30,19
NZ,nz41,0.01,frozen_n_po_lt_30,20
NZ,nz42,0.01,frozen_n_po_lt_30,27
NZ,nz43,1.0,po_random_5fold,137
NZ,nz44,1.0,po_random_5fold,65
NZ,nz45,0.01,frozen_n_po_lt_30,26
NZ,nz46,0.1,po_random_5fold,36
NZ,nz47,1.0,po_random_5fold,87
NZ,nz48,0.0001,po_random_5fold,43
NZ,nz49,0.001,po_random_5fold,37
NZ,nz50,0.1,po_random_5fold,131
NZ,nz51,0.01,po_random_5fold,42
NZ,nz52,1.0,po_random_5fold,174
SA,sa01,0.001,po_random_5fold,120
SA,sa02,1.0,po_random_5fold,150
SA,sa03,0.01,frozen_n_po_lt_30,28
SA,sa04,0.1,po_random_5fold,60
SA,sa05,0.01,po_random_5fold,61
SA,sa06,0.001,po_random_5fold,32
SA,sa07,0.01,frozen_n_po_lt_30,17
SA,sa08,0.01,po_random_5fold,35
SA,sa09,0.0001,po_random_5fold,49
SA,sa10,0.0001,po_random_5fold,99
SA,sa11,0.01,po_random_5fold,35
SA,sa12,0.001,po_random_5fold,203
SA,sa13,0.0001,po_random_5fold,86
SA,sa14,0.1,po_random_5fold,81
SA,sa15,0.0001,po_random_5fold,88
SA,sa16,0.0001,po_random_5fold,37
SA,sa17,0.001,po_random_5fold,37
SA,sa18,0.01,po_random_5fold,123
SA,sa19,1.0,po_random_5fold,36
SA,sa20,0.1,po_random_5fold,54
SA,sa21,0.01,frozen_n_po_lt_30,27
SA,sa22,1.0,po_random_5fold,57
SA,sa23,1.0,po_random_5fold,55
SA,sa24,0.0001,po_random_5fold,138
SA,sa25,1.0,po_random_5fold,66
SA,sa26,0.01,po_random_5fold,216
SA,sa27,0.01,po_random_5fold,38
SA,sa28,0.1,po_random_5fold,43
SA,sa29,0.1,po_random_5fold,61
SA,sa30,1.0,po_random_5fold,88
SWI,swi01,1.0,po_random_5fold,482
SWI,swi02,0.1,po_random_5fold,1245
SWI,swi03,0.1,po_random_5fold,291
SWI,swi04,0.01,po_random_5fold,710
SWI,swi05,0.001,po_random_5fold,91
SWI,swi06,0.01,po_random_5fold,5822
SWI,swi07,0.01,po_random_5fold,857
SWI,swi08,0.01,po_random_5fold,1452
SWI,swi09,1.0,po_random_5fold,937
SWI,swi10,0.1,po_random_5fold,2830
SWI,swi11,0.1,po_random_5fold,749
SWI,swi12,1.0,po_random_5fold,37
SWI,swi13,0.001,po_random_5fold,3357
SWI,swi14,0.1,po_random_5fold,2142
SWI,swi15,1.0,po_random_5fold,297
SWI,swi16,0.1,po_random_5fold,734
SWI,swi17,0.01,po_random_5fold,458
SWI,swi18,0.01,po_random_5fold,382
SWI,swi19,0.1,po_random_5fold,36
SWI,swi20,1.0,po_random_5fold,613
SWI,swi21,0.1,po_random_5fold,426
SWI,swi22,0.1,po_random_5fold,560
SWI,swi23,1.0,po_random_5fold,986
SWI,swi24,0.001,po_random_5fold,293
SWI,swi25,0.1,po_random_5fold,279
SWI,swi26,0.0001,po_random_5fold,89
SWI,swi27,1.0,po_random_5fold,468
SWI,swi28,0.01,po_random_5fold,5528
SWI,swi29,0.1,po_random_5fold,154
