region,species_id,lambda_s,lambda_selection,additive_kan_ipp,gam_ipp_same_basis,maxnet_bg10k,maxnet_bg50k
CAN,can11,1.0,po_random_5fold,0.5986135149250627,0.5986152224922603,0.6012407888317085,0.6024040717391504
CAN,can12,0.001,po_random_5fold,0.5341860275370506,0.5343429627255505,0.511525718437191,0.5018333309259527
CAN,can13,1.0,po_random_5fold,0.3654907438546393,0.3654902030196294,0.3582614514438328,0.359458958489438
CAN,can14,0.01,frozen_n_po_lt_30,0.3891702244019476,0.3892803965845741,0.3017324994707501,0.3044309681744407
CAN,can15,0.1,po_random_5fold,0.6843092022853609,0.6843197815994377,0.6958828287282062,0.6921095495846296
CAN,can16,1.0,po_random_5fold,0.5253882714925698,0.5252839332412789,0.5023306279386758,0.5002949220571064
CAN,can17,0.001,po_random_5fold,0.4796498670636515,0.479027250677665,0.3872319258161708,0.3934300972607519
CAN,can18,0.01,po_random_5fold,0.7808776705012326,0.7809830634399246,0.7924747422872936,0.7835753638059514
CAN,can19,0.1,po_random_5fold,0.4803009211521276,0.4802235856190279,0.5015080428954424,0.4934135904310167
CAN,can20,0.001,po_random_5fold,0.6264315621475999,0.626537174727581,0.6007668865100315,0.6082011115683108
NSW,nsw01,0.01,frozen_n_po_lt_30,0.7015555555555555,0.7016666666666667,0.699462962962963,0.711574074074074
NSW,nsw02,0.01,frozen_n_po_lt_30,0.7253115714757344,0.7252703037306042,0.6402174810168373,
NSW,nsw03,0.01,frozen_n_po_lt_30,0.7259085783675948,0.7275565964090553,0.6614623991673172,0.654610113626507
NSW,nsw04,0.0001,po_random_5fold,0.8629032258064517,0.8629032258064517,0.8520011947431302,0.8508064516129032
NSW,nsw05,0.01,frozen_n_po_lt_30,0.553254716981132,0.553443396226415,0.5593867924528302,0.5573584905660377
NSW,nsw06,1.0,po_random_5fold,0.475135052562874,0.4751906011748531,0.4766626393922981,0.4756072157646961
NSW,nsw07,0.01,frozen_n_po_lt_30,0.7425682682336675,0.7397165572070515,0.7640425164189423,0.7640425164189423
NSW,nsw08,1.0,po_random_5fold,0.8576246334310851,0.8576246334310851,0.8504398826979472,0.8577712609970675
NSW,nsw09,1.0,po_random_5fold,0.587864935064935,0.5879272727272727,0.5636571428571429,0.5717402597402597
NSW,nsw10,1.0,po_random_5fold,0.9640804597701148,0.9640804597701148,0.9633620689655172,0.9626436781609194
NSW,nsw11,1.0,po_random_5fold,0.5988286969253294,0.5968251521923402,0.6247977190413809,0.6318871850196501
NSW,nsw12,0.1,po_random_5fold,0.6571742112482852,0.6573388203017833,0.6378600823045268,0.6322633744855968
NSW,nsw13,1.0,po_random_5fold,0.7833382570162482,0.7832791728212702,0.7725849335302807,0.7669128508124077
NSW,nsw14,0.01,po_random_5fold,0.6493610865546894,0.649223315461361,0.657478100136623,0.6646192351408136
NSW,nsw15,0.01,po_random_5fold,0.7843071176825758,0.7839560779027479,0.7884493870845445,0.7876490163865368
NSW,nsw16,1.0,po_random_5fold,0.6545918869862531,0.6546129926411617,0.6365465520395097,0.6413586413586413
NSW,nsw17,0.1,po_random_5fold,0.5228858697200147,0.522878749038708,0.5078185080748525,0.5133940015380671
NSW,nsw18,0.1,po_random_5fold,0.6406894634417569,0.640565749235474,0.7380191826522102,0.7389630247428414
NSW,nsw19,1.0,po_random_5fold,0.9602713178294572,0.9603594080338266,0.9574964763918252,0.9539288231148696
NSW,nsw20,0.01,frozen_n_po_lt_30,0.655770097870196,0.6663395485770364,0.8021908070975784,0.7961037583216191
NSW,nsw21,0.0001,po_random_5fold,0.9017016910776195,0.9020554730064388,0.8817837684851058,0.8845255784334536
NSW,nsw22,0.01,frozen_n_po_lt_30,0.8653721682847896,0.8821359223300971,0.8930097087378641,0.8904530744336571
NSW,nsw23,1.0,po_random_5fold,0.7784221525600836,0.7784848484848484,0.7770657001044932,0.7809541536050156
NSW,nsw24,1.0,po_random_5fold,0.6774279769158255,0.6773848665302462,0.5854476582438554,0.5879739268388017
NSW,nsw25,0.01,frozen_n_po_lt_30,0.6488962510696361,0.6494570873516964,0.6480925784592613,0.6489078147043179
NSW,nsw26,0.01,frozen_n_po_lt_30,0.6728110599078341,0.6727013385999561,0.7949308755760369,0.7922975641869652
NSW,nsw27,0.01,frozen_n_po_lt_30,0.5408785892634207,0.5408655846858094,0.5411620890553475,0.5462130669995838
NSW,nsw28,1.0,po_random_5fold,0.6879117001254704,0.6879901191969887,0.6800722435696361,0.6833609433814304
NSW,nsw29,0.01,frozen_n_po_lt_30,0.7303124193131938,0.7311730785781909,0.8461571563817885,0.8468026508305362
NSW,nsw31,0.01,frozen_n_po_lt_30,0.5457340417584879,0.5456406641018937,0.5643838942217906,0.5647480670825085
NSW,nsw32,0.01,frozen_n_po_lt_30,0.7683831320194957,0.7682065409338137,0.7088719361446635,0.7136045772409408
NSW,nsw33,0.01,frozen_n_po_lt_30,0.5338436823493686,0.5339832691723725,0.5027770431102883,0.5048757432386102
NSW,nsw34,0.01,frozen_n_po_lt_30,0.611034225907069,0.6112204432819965,0.5483530342851581,0.5485604127254182
NSW,nsw35,0.01,frozen_n_po_lt_30,0.3948566928055337,0.3941718316611307,0.4396123685922679,0.4386193199328836
NSW,nsw36,0.01,frozen_n_po_lt_30,0.8562480474851609,0.8701811933770697,0.8745235863792565,0.8727272727272728
NSW,nsw37,0.01,frozen_n_po_lt_30,0.5625,0.5623765797788309,0.5653201520537126,0.5679613447867298
NSW,nsw38,0.01,frozen_n_po_lt_30,0.4091173377868498,0.4124698459825571,0.5263808993628998,0.5333704459701862
NSW,nsw39,0.01,frozen_n_po_lt_30,0.6214447706479023,0.621176817807602,0.5215721453314073,0.5174596517389751
NSW,nsw40,0.01,frozen_n_po_lt_30,0.6393313117431894,0.6392901667606143,0.659270170299083,0.6568549598219247
NSW,nsw41,0.01,frozen_n_po_lt_30,0.6147720249132316,0.6147403286898365,0.589993502274204,0.5896686159844055
NSW,nsw42,0.01,frozen_n_po_lt_30,0.8842541436464089,0.8845303867403316,0.9707182320441988,0.9709944751381216
NSW,nsw43,0.1,po_random_5fold,0.6609280637058415,0.6610082304526749,0.6877371599593821,0.6896277590722035
NSW,nsw44,0.01,frozen_n_po_lt_30,0.994074074074074,0.994074074074074,0.991604938271605,0.9928395061728396
NSW,nsw45,0.01,frozen_n_po_lt_30,0.7002575236376622,0.6993928457301828,0.8093761160924078,0.8101280099249987
NSW,nsw46,0.01,frozen_n_po_lt_30,0.9774909589724404,0.9774286070582368,0.9878413767302656,0.98609552313256
NSW,nsw47,0.1,po_random_5fold,0.921275262415792,0.921275262415792,0.8988720037599875,0.9030628231239228
NSW,nsw48,1.0,po_random_5fold,0.875036171074715,0.8748914867758552,0.860712425487586,0.8611898836738238
NSW,nsw49,0.1,po_random_5fold,0.7461333935158083,0.7460487619101352,0.693922745449288,0.6945363245904184
NSW,nsw50,1.0,po_random_5fold,0.7689004679886139,0.7688522217397598,0.7379746224731026,0.7415448448883099
NSW,nsw51,1.0,po_random_5fold,0.6721556886227544,0.6721556886227544,0.6274118429807052,0.6265801729873586
NSW,nsw52,1.0,po_random_5fold,0.7973111901937526,0.7973040008627198,0.7897695819404005,0.7906251123332974
NSW,nsw53,0.1,po_random_5fold,0.6556046362366443,0.6556423906067127,0.6516404273794691,0.6755389436327254
NSW,nsw54,1.0,po_random_5fold,0.4846540394279088,0.4844221105527638,0.4542713567839195,0.4566679551604174
NZ,nz01,0.01,frozen_n_po_lt_30,0.8283093345547424,0.8324188669522982,0.7344564570868758,0.7368078284683721
NZ,nz02,0.0001,po_random_5fold,0.717229488621084,0.7167887951154194,0.8007585897473412,0.8006829160901618
NZ,nz03,0.01,po_random_5fold,0.6328586080136014,0.6324244243775705,0.6591614575600733,0.6663287786714175
NZ,nz04,0.1,po_random_5fold,0.7857728631393156,0.785696441872569,0.7789717275076045,0.7757013582857535
NZ,nz05,0.1,po_random_5fold,0.7414106248485403,0.7413983786006767,0.7421681789095432,0.7406766287524261
NZ,nz06,0.01,po_random_5fold,0.6372654698330034,0.6371729463687084,0.6505437763123854,0.6507617150044351
NZ,nz07,0.1,po_random_5fold,0.8667637617999292,0.8667637617999292,0.6980391275914914,0.6738726730864272
NZ,nz08,1.0,po_random_5fold,0.8335122800951551,0.8335134215452489,0.8308355143998658,0.830408253323389
NZ,nz09,1.0,po_random_5fold,0.745609149934954,0.7458173167348474,0.7387516457422297,0.7394534127599881
NZ,nz10,0.01,frozen_n_po_lt_30,0.6174083464475142,0.6154748083443904,0.6661071175716309,0.679919810641515
NZ,nz11,0.01,frozen_n_po_lt_30,0.7957637945495942,0.7964108394261803,0.8135151608738453,0.8085177451616836
NZ,nz12,0.01,frozen_n_po_lt_30,0.5408011293624959,0.5400257376231161,0.5677946939631612,0.5650623462265655
NZ,nz13,0.01,frozen_n_po_lt_30,0.7132065796242996,0.7132864027586591,0.6623658727179187,0.6630478844255343
NZ,nz14,0.01,frozen_n_po_lt_30,0.4350710120468337,0.4349472887739101,0.4648473895379982,0.4694156852004464
NZ,nz15,0.0001,po_random_5fold,0.8723759442427277,0.8755488352333224,0.901729198836999,0.8999217745931155
NZ,nz16,1.0,po_random_5fold,0.552148942117608,0.5522897763045436,0.5774498573206456,0.5801533843836448
NZ,nz17,0.1,po_random_5fold,0.7006806798610767,0.700664219080701,0.7340738193668155,0.7325500669992322
NZ,nz18,1.0,po_random_5fold,0.9470199976820388,0.946989337379229,0.9538083046222252,0.954398383748986
NZ,nz19,0.1,po_random_5fold,0.6786598662663756,0.6786200191048035,0.7073219159388646,0.707025518558952
NZ,nz20,0.01,po_random_5fold,0.9440297789954042,0.9439930073067708,0.9596369431099244,0.9602519411684468
NZ,nz21,0.01,frozen_n_po_lt_30,0.7279698943656938,0.7280314925020512,0.6789356985631521,0.6805192514968736
NZ,nz22,0.0001,po_random_5fold,0.6320167660987015,0.6339165281185646,0.5566462573821996,0.5623647576151715
NZ,nz23,0.01,frozen_n_po_lt_30,0.5191331521260524,0.5191261992101768,0.3532432517292773,0.3561641576625571
NZ,nz24,0.01,frozen_n_po_lt_30,0.7432292759706192,0.7450244840853445,0.7292287513116474,0.7286848548443512
NZ,nz25,0.1,po_random_5fold,0.8557796508425005,0.8557799801307471,0.8670212222982145,0.8669434005092335
NZ,nz26,0.01,frozen_n_po_lt_30,0.8918884999185566,0.8919390126562223,0.8626867969939803,0.8599984957440236
NZ,nz27,0.1,po_random_5fold,0.5940617156588118,0.5939232676982223,0.5371328359077905,0.5417610973418596
NZ,nz28,0.01,frozen_n_po_lt_30,0.6298786856637295,0.630376966784048,0.7679698809982967,0.7703829309428012
NZ,nz29,0.01,frozen_n_po_lt_30,0.6825599769856473,0.6825745563495798,0.6137532889053521,0.6164533269845464
NZ,nz30,1.0,po_random_5fold,0.7850314951319444,0.7848037681655218,0.7974358359153564,0.7965428596684372
NZ,nz31,0.0001,po_random_5fold,0.9270484293193716,0.9284960732984292,0.9415981675392672,0.9409515706806282
NZ,nz32,0.1,po_random_5fold,0.7590928942037227,0.7591233760769621,0.7523618611397768,0.7505664341257181
NZ,nz33,0.01,frozen_n_po_lt_30,0.8343587991671159,0.8344299446775583,0.7734874265495914,0.770318588757934
NZ,nz34,1.0,po_random_5fold,0.5542785012761811,0.5542836398545722,0.5077288249260146,0.5135999026289773
NZ,nz35,0.01,frozen_n_po_lt_30,0.8111634129673976,0.811621392703994,0.7749913811288243,0.7778906577169642
NZ,nz36,0.001,po_random_5fold,0.6327093748381698,0.6337498841009548,0.6005613833234077,0.5998892045584356
NZ,nz37,0.01,frozen_n_po_lt_30,0.5043530910284173,0.5044593486247871,0.5442988618170208,0.5444480899950026
NZ,nz38,0.001,po_random_5fold,0.8197707615359362,0.8190249038164296,0.8306713648413127,0.8296152086491669
NZ,nz39,0.01,frozen_n_po_lt_30,0.6841496115871344,0.684703693295929,0.6739459349612856,0.6725440606092359
NZ,nz40,0.01,frozen_n_po_lt_30,0.6401651805452251,0.639761964870473,0.5325719315836578,0.5288880479133047
NZ,nz41,0.01,frozen_n_po_lt_30,0.9828878406708594,0.9828223270440252,0.9820296121593292,0.978145964360587
NZ,nz42,0.01,frozen_n_po_lt_30,0.5577907429692672,0.5578059506491456,0.5791708463621587,0.579071210283227
NZ,nz43,1.0,po_random_5fold,0.6712831216234156,0.6713098944592502,0.717462916833532,0.7093440543667052
NZ,nz44,1.0,po_random_5fold,0.8511004330486581,0.8508213987054632,0.8736289280015452,0.8748224346860343
NZ,nz45,0.01,frozen_n_po_lt_30,0.8893487690658288,0.8925110852307141,0.8949211751253726,0.8946330659319883
NZ,nz46,0.1,po_random_5fold,0.8986471691466978,0.8986328887365646,0.902167290244576,0.9045116575748056
NZ,nz47,1.0,po_random_5fold,0.809323955018786,0.8091637915226717,0.7946266954124,0.7927201886657506
NZ,nz48,0.0001,po_random_5fold,0.6722337056888787,0.6723344623883508,0.6398573018589888,0.6381370956242779
NZ,nz49,0.001,po_random_5fold,0.8972765464595945,0.8974900763358777,0.9241787838904976,0.9228264280073704
NZ,nz50,0.1,po_random_5fold,0.7907065059774986,0.7906581607369009,0.801942123627278,0.8023764843697023
NZ,nz51,0.01,po_random_5fold,0.6987897230151581,0.6992022989193446,0.5886688707788873,0.5997372764966159
NZ,nz52,1.0,po_random_5fold,0.8485212171503579,0.8485253904591368,0.85788262811694,0.8541640158876895
SA,sa01,0.001,po_random_5fold,0.5557177615571776,0.5581508515815086,0.4807785888077859,0.4720194647201946
SA,sa02,1.0,po_random_5fold,0.5915065722952477,0.5915065722952477,0.5473542298618133,0.553758004718571
SA,sa03,0.01,frozen_n_po_lt_30,0.8776041666666667,0.8776041666666667,0.7960069444444444,0.7986111111111112
SA,sa04,0.1,po_random_5fold,0.947940947940948,0.947940947940948,0.923076923076923,0.9153069153069152
SA,sa05,0.01,po_random_5fold,0.9152709359605912,0.9152709359605912,0.8955665024630541,0.8955665024630541
SA,sa06,0.001,po_random_5fold,0.9379310344827586,0.9369458128078818,0.916256157635468,0.9152709359605912
SA,sa07,0.01,frozen_n_po_lt_30,0.8854166666666666,0.8854166666666666,0.8958333333333334,0.8940972222222222
SA,sa08,0.01,po_random_5fold,0.9869791666666666,0.9869791666666666,0.9670138888888888,0.9678819444444444
SA,sa09,0.0001,po_random_5fold,0.8584507042253521,0.8661971830985915,0.8126760563380282,0.8147887323943661
SA,sa10,0.0001,po_random_5fold,0.6114381833473507,0.610036445192038,0.5663022147462854,0.5663022147462854
SA,sa11,0.01,po_random_5fold,0.8359375,0.8350694444444445,0.6536458333333333,0.6519097222222223
SA,sa12,0.001,po_random_5fold,0.7897810218978101,0.7907542579075425,0.7839416058394161,0.7819951338199513
SA,sa13,0.0001,po_random_5fold,0.8717948717948718,0.8694638694638694,0.8756798756798756,0.8733488733488733
SA,sa14,0.1,po_random_5fold,0.8748768472906403,0.8748768472906403,0.8502463054187192,0.851231527093596
SA,sa15,0.0001,po_random_5fold,0.6472019464720196,0.6476885644768857,0.6233576642335766,0.6233576642335767
SA,sa16,0.0001,po_random_5fold,0.7960591133004926,0.7980295566502463,0.7330049261083743,0.7428571428571428
SA,sa17,0.001,po_random_5fold,0.8420373952288847,0.8401031592520954,0.8704061895551256,0.8774983881366861
SA,sa18,0.01,po_random_5fold,0.7732489117530669,0.7740403640680649,0.7142857142857142,0.7206173328056985
SA,sa19,1.0,po_random_5fold,0.8181818181818181,0.8166278166278167,0.8018648018648019,0.8034188034188033
SA,sa20,0.1,po_random_5fold,0.7633802816901408,0.7633802816901408,0.652112676056338,0.6626760563380282
SA,sa21,0.01,frozen_n_po_lt_30,0.7769784172661871,0.7769784172661871,0.7985611510791367,0.7974543442169342
SA,sa22,1.0,po_random_5fold,0.8716956802063186,0.8716956802063186,0.8768536428110896,0.8762088974854934
SA,sa23,1.0,po_random_5fold,0.8602430555555556,0.8602430555555556,0.8854166666666666,0.8836805555555555
SA,sa24,0.0001,po_random_5fold,0.7237368229734642,0.72264631043257,0.7546346782988004,0.7568157033805889
SA,sa25,1.0,po_random_5fold,0.6876456876456876,0.6876456876456876,0.6643356643356643,0.6581196581196581
SA,sa26,0.01,po_random_5fold,0.6391111111111111,0.6391111111111111,0.5943703703703704,0.5946666666666667
SA,sa27,0.01,po_random_5fold,0.8733488733488735,0.8733488733488735,0.8205128205128205,0.8135198135198135
SA,sa28,0.1,po_random_5fold,0.6901408450704225,0.6901408450704225,0.6676056338028169,0.6661971830985915
SA,sa29,0.1,po_random_5fold,0.7894327894327895,0.7894327894327895,0.7692307692307693,0.7692307692307693
SA,sa30,1.0,po_random_5fold,0.7389162561576355,0.7389162561576355,0.6699507389162562,0.6738916256157635
SWI,swi01,1.0,po_random_5fold,0.83480039473858,0.8348041685299761,0.8185966779314339,0.8226563340258239
SWI,swi02,0.1,po_random_5fold,0.753374184389324,0.7534425765180116,0.7328938505804696,0.7380868165536585
SWI,swi03,0.1,po_random_5fold,0.6902086207855991,0.6895251562051878,0.6901658150707508,0.6952311579944667
SWI,swi04,0.01,po_random_5fold,0.869870203994272,0.8697215696466579,0.851857419741699,0.8582232165152295
SWI,swi05,0.001,po_random_5fold,0.9845660452996592,0.984325516135498,0.987704378203476,0.9858230965266442
SWI,swi06,0.01,po_random_5fold,0.709727216069802,0.7096555396692452,0.6841856479875617,
SWI,swi07,0.01,po_random_5fold,0.9099135904365198,0.9099554564267056,0.8984321876774128,0.8992363827416426
SWI,swi08,0.01,po_random_5fold,0.8513623316871385,0.8514117966738424,0.8329519033247507,0.8424797391414461
SWI,swi09,1.0,po_random_5fold,0.7921151840427803,0.7921114807655144,0.7806286279492396,0.7856677783231694
SWI,swi10,0.1,po_random_5fold,0.7574691820943156,0.7575382655415321,0.7335492078177402,0.7358375123457032
SWI,swi11,0.1,po_random_5fold,0.8591926919583596,0.8587259445570072,0.8425537778398814,0.8495142333698192
SWI,swi12,1.0,po_random_5fold,0.7068497948563994,0.7031522065445812,0.6977184028820174,0.6996397478234764
SWI,swi13,0.001,po_random_5fold,0.7470626945003549,0.7470607161686621,0.7256081818763056,0.7290278630933321
SWI,swi14,0.1,po_random_5fold,0.8009316190275718,0.8008746942983602,0.7790617718189771,0.7852979155137428
SWI,swi15,1.0,po_random_5fold,0.7815492836455439,0.7815598593730406,0.7746357794991033,0.772354443996235
SWI,swi16,0.1,po_random_5fold,0.8372339837488254,0.8373195301004709,0.8243075351858725,0.8223460231475267
SWI,swi17,0.01,po_random_5fold,0.9826809717845266,0.9827274734539032,0.9864636651344534,0.9854998427641396
SWI,swi18,0.01,po_random_5fold,0.9304557463163652,0.9321464057120412,0.938835871248007,0.9313492155186358
SWI,swi19,0.1,po_random_5fold,0.8807021054738106,0.8655825073991763,0.9079026363186332,0.9142538154471632
SWI,swi20,1.0,po_random_5fold,0.7568833089275258,0.7569230804194719,0.7402539012045838,0.7421413425795109
SWI,swi21,0.1,po_random_5fold,0.7259040760036777,0.7257253039125549,0.6863270361776338,0.6841571443165069
SWI,swi22,0.1,po_random_5fold,0.8566733845952643,0.8568472012170515,0.8522150720808028,0.8549391306486211
SWI,swi23,1.0,po_random_5fold,0.7651976830844409,0.765186205421859,0.7306721665110106,0.7339028140712999
SWI,swi24,0.001,po_random_5fold,0.6492013169125717,0.6503767094182897,0.5620175662243703,0.5601305088440803
SWI,swi25,0.1,po_random_5fold,0.9699331599647532,0.9699142470287349,0.9659279159234028,0.9654718562616864
SWI,swi26,0.0001,po_random_5fold,0.82840010554954,0.8281544298959973,0.793468667255075,0.7809119116295575
SWI,swi27,1.0,po_random_5fold,0.7111367225895897,0.7111319381574939,0.7097221254999068,0.7085459526096686
SWI,swi28,0.01,po_random_5fold,0.8115146021008481,0.8113904938202734,0.776234934565655,
SWI,swi29,0.1,po_random_5fold,0.6711015837788763,0.6711167154241905,0.6530384343790983,0.647333804095632
SWI,swi30,0.01,po_random_5fold,0.7179860969095292,0.7179186264849691,0.6891910985517484,0.6925062125465553
