region,species_id,additive_kan_ipp,gam_ipp_same_basis,maxnet_bg10k,maxnet_bg50k,e2e_cor
CAN,can18,0.1979425372469959,0.200479372255095,0.2339931901923463,0.2406826291851716,0.1962346728950375
CAN,can19,0.0067811291326252,0.0069573623687575,0.0088855732979608,0.0082682318828068,0.0096160420375349
CAN,can20,0.0455848041748535,0.0426076317030049,0.0355697324455208,0.0415885491794615,0.0487263303529861
NSW,nsw01,0.2708683126685584,0.2701377040706497,0.2715658255201097,0.2829325448920175,0.0791488273570922
NSW,nsw02,0.2813159297125519,0.2806485858486405,0.1673086823897198,,0.2220382432310241
NSW,nsw03,0.1399048747186962,0.1405383989517624,0.0996360898736077,0.0936404607112526,0.0927623094905319
NSW,nsw04,0.1385224174867012,0.1322122807121312,0.1700775160652875,0.168989217941546,0.1448025758560966
NSW,nsw05,0.0509292017021278,0.0516637183712645,0.0584152337089903,0.0571189880028008,-0.0652213203074826
NSW,nsw06,-0.0384800354502585,-0.0344659118347748,-0.0475650695818867,-0.0416309128503985,0.0428695724038047
NSW,nsw07,0.1952749149145037,0.1962423970340291,0.2323439555336281,0.232837474361419,0.1686890419364065
NSW,nsw08,0.213934718323062,0.2106826406721945,0.2091570718511966,0.2117945810167819,0.1917295975786301
NSW,nsw09,0.1070227499602522,0.1066835161680219,0.0715608807691092,0.0811830183656561,0.1088961663323853
NSW,nsw10,0.1551874905281292,0.1409285086788857,0.1823278460588067,0.1922907203896397,0.1530842312080155
NSW,nsw11,0.0458791611122078,0.0359809288157874,0.0656479526762179,0.0682888514861865,0.0801060910926553
NSW,nsw12,0.1082540531797622,0.1063635656867188,0.096548246800584,0.094962372124529,0.1386392416572888
NSW,nsw13,0.1733324943693405,0.1649476917299715,0.1649579472708064,0.1627986580563561,0.188773594578753
NSW,nsw14,0.2247560225537322,0.2234837968606443,0.2358337970276089,0.2436470153938994,0.1899149594090935
NSW,nsw15,0.28724851450748,0.2797239249679211,0.3628394147110578,0.3658253475044604,0.3016665911917671
NSW,nsw16,0.1669796090263001,0.1616450656057144,0.1628869626089001,0.1676242087535475,0.0722964547783734
NSW,nsw17,0.0300573575874623,0.0300999585024257,0.0120330122448008,0.0179782677235582,0.0029940142493586
NSW,nsw18,0.1803308988453485,0.1814177980903761,0.2798834773828537,0.279874130400173,0.0510118803194695
NSW,nsw19,0.124628501731951,0.1131812833772642,0.1153290516897617,0.12755148320403,0.0703867107214233
NSW,nsw20,0.0733494444828933,0.0785703828849261,0.160342376812629,0.1604058637270523,0.1668533053140696
NSW,nsw21,0.1740418645506013,0.1655157112213272,0.1991730799510583,0.2022222006758993,0.1228966056683106
NSW,nsw22,0.1320146085722492,0.1391689151451734,0.1494372645387245,0.1521780320673885,0.1729162978403131
NSW,nsw23,0.3812728289890347,0.3541618544090395,0.3971539398715886,0.4019761486806181,0.1014610523449116
NSW,nsw24,0.1556389352901215,0.14552145760583,0.078690098899433,0.0797237499532638,0.0086783127248387
NSW,nsw25,0.0926490205819995,0.093700508447476,0.0884170045760128,0.0882645126683737,0.0779110172381166
NSW,nsw26,0.037459799175051,0.037588008490244,0.0644251258802233,0.0640239073213156,0.0169372035555181
NSW,nsw27,0.0911391904532253,0.0909945823711041,0.0778571254969768,0.088211542120915,-0.0086137464240497
NSW,nsw28,0.2137419031982152,0.18537165991333,0.3028143279866147,0.3071717401737113,0.0595789209234566
NSW,nsw29,0.0871763275083039,0.0874678676352668,0.1247547904610038,0.1275406493328882,0.0726863889452598
NSW,nsw31,0.1000833138925629,0.1019762296463641,0.1347126536204428,0.1342921485568847,-0.0574199206721702
NSW,nsw32,0.1106754750241032,0.1078639445072208,0.0814125357141026,0.082363178157352,0.040842953654232
NSW,nsw33,0.1111965348431072,0.1108932174736737,0.0549515886528915,0.0564878028070014,-0.0908895368179022
NSW,nsw34,0.194737647107557,0.1961733331315525,0.1377962212411819,0.1402364198290845,0.0637681159753236
NSW,nsw35,-0.0444112492617256,-0.045065066715606,-0.024855171730411,-0.0284600204210879,0.0619452930437535
NSW,nsw36,0.3260028754339358,0.3417683851548906,0.3551921882936292,0.3530989551048913,0.4293527134514008
NSW,nsw37,0.0737675327220775,0.0800440550069863,0.0789446789588114,0.0823908588974261,0.0453416741080937
NSW,nsw38,-0.0769721490520954,-0.0747035455446261,-0.0005645242624352,0.0053878360220942,-0.0639285859074338
NSW,nsw39,0.1440771380608656,0.1461127911645167,0.0439006277826125,0.0344115604867025,0.0201880591086499
NSW,nsw40,0.2391044781355868,0.2388276396929614,0.262549187966064,0.2586505503005892,0.2186127291883996
NSW,nsw41,0.1705186412919632,0.1707104912433947,0.1461426432994055,0.1454730137581714,0.1221897399174844
NSW,nsw42,0.0772111217943506,0.0787425489085102,0.1142177547322438,0.1130844841196581,0.0560621922050148
NSW,nsw43,0.1758380344086058,0.1754457059786137,0.2218828556243932,0.2240635675052821,0.059483391154314
NSW,nsw44,0.2075814940421183,0.2045895829453672,0.2411102057414871,0.2437390507620734,0.2131766601039883
NSW,nsw45,0.2011705240307897,0.19848665570712,0.3626690578635443,0.3643135858139062,0.1123416265986475
NSW,nsw46,0.214495243467626,0.2127400787783532,0.2510499126692918,0.253919387428498,0.3394706000756093
NSW,nsw47,0.218022425730351,0.2111411643469554,0.2342672538273772,0.2405025864172064,0.3297615171952841
NSW,nsw48,0.3417507299843489,0.3255235265689382,0.3458480128647533,0.35513916001756,0.3652432081917478
NSW,nsw49,0.271326688951736,0.2671289445231533,0.2464301020520595,0.2481716238968042,0.2494781842808947
NSW,nsw50,0.1198714549190014,0.1126256227331896,0.116837980096144,0.1180167446854246,0.1566948961013693
NSW,nsw51,0.0445342834118254,0.0432857880953936,0.0321890968040896,0.033850938068752,0.0347013594648459
NSW,nsw52,0.3313334001884851,0.3206865197247527,0.3790607660674569,0.3856127101354569,0.3297481034759135
NSW,nsw53,0.08582671983395,0.0825690206569617,0.0993512816818584,0.1132421897169309,0.0736611557667253
NSW,nsw54,-0.0375772811462944,-0.0400559402860405,-0.0330310544657381,-0.0326711705167563,0.0079608605681889
NZ,nz01,0.0595626285010319,0.0597620008210353,0.0447936139524964,0.0453132004006838,0.0597688051845957
NZ,nz02,0.2564783739520856,0.2540197636298919,0.4258583343663318,0.4242078812126679,0.1456381593856437
NZ,nz03,0.0280300594198399,0.0278671204794794,0.0475829947773074,0.05735132387753,0.0223792002625673
NZ,nz04,0.2577116463630071,0.2546956367006341,0.247886423057767,0.2516725782539263,0.0079861627324806
NZ,nz05,0.2726525532123464,0.272569926169395,0.2846762424260962,0.2850029433797064,0.1720693721961731
NZ,nz06,0.121642694019625,0.1215398265909496,0.1479460116639274,0.1492015250813743,0.021042022336693
NZ,nz07,0.0448785768974181,0.0443621031609649,0.0295906109431526,0.0264027514304175,0.0551886795689544
NZ,nz08,0.2768700679603091,0.2768476146098244,0.2805594763007261,0.2828580104762534,0.1078691615576447
NZ,nz09,0.0852116274022489,0.0852344035834435,0.0838283347618521,0.0844189507951383,0.0189351095753831
NZ,nz10,0.0782574932983563,0.0748673970096973,0.1199341097944553,0.1267108332652558,0.0682208248526386
NZ,nz11,0.1523065265059686,0.1522650847775779,0.2231168432931194,0.2182775804437588,0.039892256750635
NZ,nz12,0.0218496971703128,0.0202816430001546,0.0648356092229633,0.0576040935865932,0.0192033875663582
NZ,nz13,0.226693617398931,0.2270244725912245,0.1841949993468437,0.1856325352626497,0.026516709184732
NZ,nz14,-0.105179291052196,-0.1059085825204437,-0.0580225495006364,-0.0500804462013076,-0.0535784661134521
NZ,nz15,0.0515419525901494,0.0517835823122747,0.0712450456245138,0.0707371082688433,0.0202819999114904
NZ,nz16,0.0392010301020838,0.0353329480975116,0.0583326022665477,0.0606285241623679,0.0395416681226175
