region,species_id,n_presence,lambda_s,lambda_selection
SA,sa05,61,0.01,po_random_5fold
SA,sa06,32,0.001,po_random_5fold
SA,sa07,17,0.01,frozen_n_po_lt_30
SA,sa08,35,0.01,po_random_5fold
SA,sa09,49,0.0001,po_random_5fold
SA,sa10,99,0.0001,po_random_5fold
SA,sa11,35,0.01,po_random_5fold
SA,sa12,203,0.001,po_random_5fold
SA,sa13,86,0.0001,po_random_5fold
SA,sa14,81,0.1,po_random_5fold
SA,sa15,88,0.0001,po_random_5fold
SA,sa16,37,0.0001,po_random_5fold
SA,sa17,37,0.001,po_random_5fold
SA,sa18,123,0.01,po_random_5fold
SA,sa19,36,1.0,po_random_5fold
SA,sa20,54,0.1,po_random_5fold
SA,sa21,27,0.01,frozen_n_po_lt_30
SA,sa22,57,1.0,po_random_5fold
SA,sa23,55,1.0,po_random_5fold
SA,sa24,138,0.0001,po_random_5fold
SA,sa25,66,1.0,po_random_5fold
SA,sa26,216,0.01,po_random_5fold
SA,sa27,38,0.01,po_random_5fold
SA,sa28,43,0.1,po_random_5fold
SA,sa29,61,0.1,po_random_5fold
SA,sa30,88,1.0,po_random_5fold
SWI,swi01,482,1.0,po_random_5fold
SWI,swi02,1245,0.1,po_random_5fold
SWI,swi03,291,0.1,po_random_5fold
SWI,swi04,710,0.01,po_random_5fold
SWI,swi05,91,0.001,po_random_5fold
SWI,swi06,5822,0.01,po_random_5fold
SWI,swi07,857,0.01,po_random_5fold
SWI,swi08,1452,0.01,po_random_5fold
SWI,swi09,937,1.0,po_random_5fold
SWI,swi10,2830,0.1,po_random_5fold
SWI,swi11,749,0.1,po_random_5fold
SWI,swi12,37,1.0,po_random_5fold
SWI,swi13,3357,0.001,po_random_5fold
SWI,swi14,2142,0.1,po_random_5fold
SWI,swi15,297,1.0,po_random_5fold
SWI,swi16,734,0.1,po_random_5fold
SWI,swi17,458,0.01,po_random_5fold
SWI,swi18,382,0.01,po_random_5fold
SWI,swi19,36,0.1,po_random_5fold
SWI,swi20,613,1.0,po_random_5fold
SWI,swi21,426,0.1,po_random_5fold
SWI,swi22,560,0.1,po_random_5fold
SWI,swi23,986,1.0,po_random_5fold
SWI,swi24,293,0.001,po_random_5fold
SWI,swi25,279,0.1,po_random_5fold
SWI,swi26,89,0.0001,po_random_5fold
SWI,swi27,468,1.0,po_random_5fold
SWI,swi28,5528,0.01,po_random_5fold
SWI,swi29,154,0.1,po_random_5fold
SWI,swi30,2800,0.01,po_random_5fold
