pearson_r,argmax_abs_delta,max_abs_delta,argmax_x_a,argmax_x_b,region,species_id,feature,kan_monotonicity,kan_n_local_extrema,kan_argmax_x,kan_argmin_x,kan_phi_range,kan_roughness_l2,kan_phi_mean,kan_phi_std,kan_region,kan_species_id,kan_feature,kan_model
0.9999998120479775,0.0,0.0007386152363260678,0.2718975655623175,0.2718975655623175,CAN,can06,asp2,0.5252525252525253,5.0,0.2718975655623175,1.22456499377103,1.979508904573303,0.015206941869014652,0.07690895695705896,0.4174506041554125,CAN,can06,asp2,kan_ipp
0.9999893755142817,0.0,0.3768606803001582,-2.159487651552648,-2.159487651552648,CAN,can06,ontprec,0.7878787878787878,2.0,-2.159487651552648,2.7502814751514926,18.459977439106137,0.01710688342059868,0.3859429847301247,4.4037358335998915,CAN,can06,ontprec,kan_ipp
0.999995715785542,0.0,0.3460220298528114,2.8706979642840333,2.8706979642840333,CAN,can06,ontslp,0.8383838383838383,2.0,2.8706979642840333,16.994896426873197,17.186113330951887,0.01989497359765615,-4.09413824430843,4.8736106251859175,CAN,can06,ontslp,kan_ipp
0.999999416284539,0.05195385515938433,0.26502092244124853,2.578830666680517,2.5268768115211326,CAN,can06,onttemp,0.8787878787878788,1.0,2.578830666680517,-1.9411547321858809,40.59350199472292,0.02778878208056108,3.8805397834526163,11.678249503568313,CAN,can06,onttemp,kan_ipp
0.9999973177527033,0.0,0.3707093495638212,2.530460780504148,2.530460780504148,CAN,can06,watdist,1.0,0.0,2.530460780504148,-1.721016984489068,45.58760522677451,0.023248732287770062,3.543388857328793,12.66792986192231,CAN,can06,watdist,kan_ipp
0.9909566503531932,0.0,1.0948375610188679,-2.090652049747084,-2.090652049747084,CAN,can08,alt,0.8080808080808081,1.0,-2.090652049747084,-1.172640938543688,5.113407170535362,0.01850036467085165,0.3489104895912151,1.0400050350161525,CAN,can08,alt,kan_ipp
0.9999143332216606,0.0,0.0022822920208143416,-1.3306121946470804,-1.3306121946470804,CAN,can08,asp2,0.7373737373737373,3.0,-1.3306121946470804,1.2267954356756847,0.37082320636494925,0.0019058716564206292,0.01301196087511038,0.08750716762444719,CAN,can08,asp2,kan_ipp
0.9994466522418336,0.0,0.8736735006403862,2.743405162354241,2.743405162354241,CAN,can08,ontprec,0.5252525252525253,2.0,2.743405162354241,-2.164151654969745,11.657688785316427,0.020306115418762746,-0.69019688049793,2.61323991521375,CAN,can08,ontprec,kan_ipp
0.9506752574762023,0.0,4.074856398723343,4.844455312371087,4.844455312371087,CAN,can08,ontslp,0.5858585858585859,2.0,4.844455312371087,15.316755794093641,3.13019882594154,0.008059223183240361,-0.18365303810268352,1.1548787967565275,CAN,can08,ontslp,kan_ipp
0.9707313378410745,0.0,17.924107165385827,3.150938325881411,3.150938325881411,CAN,can08,onttemp,1.0,0.0,3.150938325881411,-1.9308589965348495,27.12720268640051,0.011177776465172736,3.2043110589805757,8.226648989722229,CAN,can08,onttemp,kan_ipp
