scope,region,taxon_group,pair,n,mean_delta,ci_lo,ci_hi,median_delta,mean_abs_delta,pearson_r,pct_pos
region_group,NSW,nb,KAN-GAM,2,1.5095992653257895e-05,-0.0001407043660563989,0.0001708963513629147,1.5095992653257895e-05,0.0001558003587096568,,50.0
region_group,NSW,nb,KAN-maxnet,2,0.019231255307866346,0.009659354729777414,0.02880315588595528,0.019231255307866346,0.019231255307866346,,100.0
region_group,NSW,nb,IPP-BCE,2,-0.00908638069387746,-0.03816685180438062,0.0199940904166257,-0.00908638069387746,0.02908047111050316,,50.0
region_group,NSW,ot,KAN-GAM,8,-0.0031101337658174383,-0.007574057854350827,0.0001616267989978926,9.022187138330029e-06,0.0034304017083890553,0.9988104814757479,50.0
region_group,NSW,ot,KAN-maxnet,8,-0.017886944372850475,-0.06843368611891316,0.03264314702650084,-0.00807680789543952,0.054074265696645876,0.8041761402563905,50.0
region_group,NSW,ot,IPP-BCE,8,-0.006296774367546151,-0.02661768736892302,0.011658328207316796,0.004213108228237505,0.02172376664150212,0.9728697615595054,62.5
region_group,NSW,ou,KAN-GAM,7,-0.00010329342245624889,-0.00036695801726900027,7.068948921005695e-05,3.121098626712726e-05,0.00019817955988394548,0.9999944568238313,57.14285714285714
region_group,NSW,ou,KAN-maxnet,7,-0.02451199286482472,-0.07317558343634815,0.019178979291546855,-0.005263880175658708,0.0503913743259426,0.8562930451826851,28.57142857142857
region_group,NSW,ou,IPP-BCE,7,0.019017198752743374,-0.0033295085912977023,0.047696759034271806,-0.001536098310291889,0.024117953018487532,0.9182252902949979,42.857142857142854
region_group,NSW,rt,KAN-GAM,7,-0.001811604606958688,-0.0053720575695391844,0.0007965799553267182,-4.114498257656862e-06,0.002666250014709096,0.9997629034917108,42.857142857142854
region_group,NSW,rt,KAN-maxnet,7,-0.005785709989725726,-0.05436714200874259,0.04136781989777977,-0.01827553889409561,0.05222965768641312,0.890933488203736,28.57142857142857
region_group,NSW,rt,IPP-BCE,7,-0.0347416727911481,-0.06089311287977306,-0.0117021741548082,-0.009910643759873605,0.0347416727911481,0.9716499717345977,0.0
region_group,NSW,ru,KAN-GAM,6,0.00012112636750349903,-0.0001224468573615689,0.00046264171229441303,1.9188392815561173e-05,0.0002132073988110698,0.9999975155095313,66.66666666666666
region_group,NSW,ru,KAN-maxnet,6,-0.03729431235636449,-0.07644528759779351,-0.0017889068700040621,-0.027715425863574006,0.04637686517019668,0.9530996161761709,33.33333333333333
region_group,NSW,ru,IPP-BCE,6,0.0346110204477675,0.0071872661116544265,0.06990062365780687,0.023236687866317385,0.03695367093856616,0.9671513154108068,83.33333333333334
region_group,NSW,sr,KAN-GAM,8,1.240927853568552e-05,-0.00013463200303057629,0.0001829252432139216,-9.880139096918317e-06,0.00017439401958194156,0.9999979832275642,50.0
region_group,NSW,sr,KAN-maxnet,8,0.05694506301175531,0.03779633130666601,0.07973828632736743,0.05056415526303515,0.05694506301175531,0.9780357013288454,100.0
region_group,NSW,sr,IPP-BCE,8,-0.017915055472507754,-0.03538576517409158,-0.0043683434735395195,-0.006372330798325554,0.018960608434261353,0.975908785455523,12.5
region_group,NZ,plant,KAN-GAM,52,-0.00016218971909966399,-0.00044811439179375705,9.03791580119094e-05,-2.1398804301631102e-05,0.0005348742003470449,0.9999710704398757,40.38461538461539
region_group,NZ,plant,KAN-maxnet,52,0.009351967973338728,-0.005836257661923273,0.026383133394652238,-0.00610840276412683,0.04153350313569004,0.9128222844158684,44.230769230769226
region_group,NZ,plant,IPP-BCE,52,0.015692115265305045,0.006091091491836845,0.025543290413950433,0.013644184183463637,0.031071524591037417,0.9630575373055537,67.3076923076923
region_group,SA,plant,KAN-GAM,30,0.00016140887931713385,-7.949154420536563e-05,0.0004122926598788782,0.0,0.0004928563659560774,0.9999819510801355,43.333333333333336
region_group,SA,plant,KAN-maxnet,30,0.029942739731937357,0.013214649773070259,0.04792583411712625,0.023645917674513184,0.04298272926910589,0.9164743569666585,66.66666666666666
region_group,SA,plant,IPP-BCE,30,0.010928531668299223,0.0011533693035502331,0.021091533453188375,0.01529634464337326,0.022582671801718444,0.9700115842614573,70.0
region_group,SWI,tree,KAN-GAM,30,-2.0639376608196552e-06,-0.0002097014160026428,0.00020864676901239212,-1.5864662795461726e-05,0.0003411661122514083,0.9999765966455428,46.666666666666664
region_group,SWI,tree,KAN-maxnet,30,0.015123557879465144,0.008710402762225192,0.02226824005366438,0.016005949080012516,0.019906168377249636,0.9840648875689656,80.0
region_group,SWI,tree,IPP-BCE,30,0.003912365773588178,0.0013365091404601674,0.006771529178235745,0.003423077312555478,0.006538070726763623,0.9965220295212989,70.0
