region,taxon_group,species_id,split_id,seed,estimand,n_presence,n_PA_test,categorical_encoding,weight_decay,lambda_r,basis_df,knots,background_scheme,n_background,integration_support,model,objective,lambda_s,lambda_selection,converged,runtime_s,auc_roc,auprc,prg,artifact_path,skip_reason,maxnet_bg_n,pos_weight
AWT,bird,awt09,pa_holdout,0,global_conditional_density,112,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,maxnet,maxnet_default,,maxnet_classes_lq,True,3.0493,0.7072611653356995,0.25040872810473436,0.4573004315722038,,,10000.0,
AWT,bird,awt09,pa_holdout,0,global_conditional_density,112,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_ipp,ipp,0.01,frozen_default,True,2.9969,0.7208666075125703,0.39000234915673815,0.5245627807767997,,,,
AWT,bird,awt09,pa_holdout,0,global_conditional_density,112,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,gam_ipp,ipp,0.01,frozen_default,True,2.8432,0.7207187222715172,0.3898954687579497,0.5235990976961951,,,,
AWT,bird,awt09,pa_holdout,0,global_conditional_density,112,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_bce,bce_pos_weight,0.01,frozen_default,True,3.0397,0.6722863058266786,0.22587753204926087,0.3912172698437694,,,,446.42857142857144
AWT,bird,awt10,pa_holdout,0,global_conditional_density,122,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,maxnet,maxnet_default,,maxnet_classes_lq,True,3.5156,0.6717745921898172,0.41813984914184354,0.36218123840516414,,,10000.0,
AWT,bird,awt10,pa_holdout,0,global_conditional_density,122,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_ipp,ipp,0.01,frozen_default,True,2.9972,0.683432196407975,0.4295415281311025,0.3958241909141942,,,,
AWT,bird,awt10,pa_holdout,0,global_conditional_density,122,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,gam_ipp,ipp,0.01,frozen_default,True,3.0955,0.6833910034602075,0.42956556154900166,0.39576010009776474,,,,
AWT,bird,awt10,pa_holdout,0,global_conditional_density,122,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_bce,bce_pos_weight,0.01,frozen_default,True,3.1769,0.660199373867194,0.40438086480150326,0.34384279490071834,,,,409.8360655737705
AWT,bird,awt11,pa_holdout,0,global_conditional_density,82,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,maxnet,maxnet_default,,maxnet_classes_lq,True,2.506,0.4067278287461774,0.03303271557237531,-0.26408875440943463,,,10000.0,
AWT,bird,awt11,pa_holdout,0,global_conditional_density,82,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_ipp,ipp,0.01,frozen_default,True,3.346,0.3984944718889673,0.03258709231405944,-0.2705163297706013,,,,
AWT,bird,awt11,pa_holdout,0,global_conditional_density,82,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,gam_ipp,ipp,0.01,frozen_default,True,5.5989,0.39896494942366495,0.032686768307825076,-0.27166707109472876,,,,
AWT,bird,awt11,pa_holdout,0,global_conditional_density,82,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_bce,bce_pos_weight,0.01,frozen_default,True,3.1113,0.46741943072218306,0.04255029408921546,-0.014096016508832571,,,,609.7560975609756
AWT,bird,awt12,pa_holdout,0,global_conditional_density,32,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,maxnet,maxnet_default,,maxnet_classes_lq,True,1.7164,0.8751929012345679,0.18290251187606332,0.7240899748008515,,,10000.0,
AWT,bird,awt12,pa_holdout,0,global_conditional_density,32,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_ipp,ipp,0.01,frozen_default,True,2.9226,0.8321759259259259,0.15145397418663847,0.6679976051939643,,,,
