species_id,ours_auc,valavi_auc,valavi_auprc,n_eval,n_pos,region,delta_auc
nz29,0.6137532889053521,0.6573896069726635,0.2798552849378366,19120.0,3382.0,NZ,-0.0436363180673113
nz30,0.7974358359153564,0.7767483615299046,0.6279498596327407,19120.0,7490.0,NZ,0.0206874743854518
nz31,0.9415981675392672,0.9248678010471204,0.0105273002137235,19120.0,20.0,NZ,0.0167303664921467
nz32,0.7523618611397768,0.7517411528969273,0.1409141521631374,19120.0,1119.0,NZ,0.0006207082428494
nz33,0.7734874265495914,0.8267445538949584,0.117018217018247,19120.0,781.0,NZ,-0.053257127345367
nz34,0.5077288249260146,0.563777012297525,0.0333200113193172,19120.0,534.0,NZ,-0.0560481873715104
nz35,0.7749913811288243,0.8102357712976322,0.8233491834398127,19120.0,10581.0,NZ,-0.0352443901688079
nz36,0.6005613833234077,0.6019216501986896,0.4446261306902568,19120.0,6848.0,NZ,-0.0013602668752819
nz37,0.5442988618170208,0.5173743581645938,0.1356537491066363,19120.0,2496.0,NZ,0.026924503652427
nz38,0.8306713648413127,0.8403804286767776,0.2996142397647742,19120.0,1351.0,NZ,-0.0097090638354649
nz39,0.6739459349612856,0.6319071682931903,0.0039346363583846,19120.0,33.0,NZ,0.0420387666680953
nz40,0.5325719315836578,0.6226431112936154,0.050756390502034,19120.0,779.0,NZ,-0.0900711797099576
nz41,0.9820296121593292,0.9860246331236896,0.0876983219543225,19120.0,40.0,NZ,-0.0039950209643605
nz42,0.5791708463621587,0.5482919036825462,0.3816277825134275,19120.0,5845.0,NZ,0.0308789426796124
nz43,0.717462916833532,0.625857427955972,0.0067066754615569,19120.0,47.0,NZ,0.09160548887756
nz44,0.8736289280015452,0.8705523510393827,0.4724211297025243,19120.0,2790.0,NZ,0.0030765769621625
nz45,0.8949211751253726,0.8952101670062366,0.1312632654843737,19120.0,301.0,NZ,-0.0002889918808639
nz46,0.902167290244576,0.8962671007911348,0.0781062568160508,19120.0,22.0,NZ,0.0059001894534411
nz47,0.7946266954124,0.7891874612906514,0.2932390041856513,19120.0,2536.0,NZ,0.0054392341217486
nz48,0.6398573018589888,0.65259959997184,0.1046169857526586,19120.0,889.0,NZ,-0.0127422981128512
nz49,0.9241787838904976,0.9208928665438272,0.10326840205109,19120.0,125.0,NZ,0.0032859173466702
nz50,0.801942123627278,0.8022689420470903,0.1793624917114373,19120.0,959.0,NZ,-0.0003268184198123
nz51,0.5886688707788873,0.6666840690665295,0.0446646967975955,19120.0,562.0,NZ,-0.0780151982876422
nz52,0.85788262811694,0.8285957058593743,0.0908586886822652,19120.0,555.0,NZ,0.0292869222575657
sa01,0.4807785888077859,0.5922141119221411,0.2128642277922532,152.0,15.0,SA,-0.1114355231143552
sa02,0.5473542298618133,0.6636332996292551,0.2894275395135201,152.0,23.0,SA,-0.1162790697674418
