region,species_id,seed,auc_additive,auc_deep2,delta_auc
NSW,nsw14,2,0.6495218194969059,0.6630119057186484,0.013490086221742525
NSW,nsw15,0,0.7843352008649619,0.7835909965317269,-0.0007442043332349657
NSW,nsw15,1,0.7843211592737689,0.785556819298763,0.0012356600249940897
NSW,nsw15,2,0.7841947849530309,0.7851215299717765,0.0009267450187456783
NSW,nsw16,0,0.6462762589523153,0.6447003700524828,-0.0015758888998325116
NSW,nsw16,1,0.6464662098464916,0.6456993710514837,-0.0007668387950079403
NSW,nsw16,2,0.646283294170618,0.6473878234441615,0.0011045292735434309
NSW,nsw17,0,0.5366430260047281,0.5639081147284173,0.027265088723689157
NSW,nsw17,1,0.5365148537412059,0.5637016149705204,0.027186761229314516
NSW,nsw17,2,0.5364721296533652,0.5656313196046598,0.02915918995129463
NSW,nsw18,0,0.6411551292743954,0.6351098137336669,-0.006045315540728513
NSW,nsw18,1,0.6411815401723658,0.63879760911871,-0.0023839310536558633
NSW,nsw18,2,0.6412232415902142,0.6390019460661663,-0.002221295524047817
NSW,nsw19,0,0.9619009866102888,0.972339675828048,0.010438689217759256
NSW,nsw19,1,0.9619450317124736,0.9729122621564484,0.010967230443974851
NSW,nsw19,2,0.9620331219168428,0.9738372093023256,0.011804087385482886
NSW,nsw20,0,0.6557966209585443,0.7188022173301859,0.0630055963716416
NSW,nsw20,1,0.6477733867331512,0.6960454075272525,0.04827202079410131
NSW,nsw20,2,0.6504654802005145,0.7243853274275256,0.07391984722701106
NSW,nsw21,0,0.9027011250265335,0.9027188141229746,1.7689096441064756e-05
NSW,nsw21,1,0.9026392131889904,0.9005253661642963,-0.002113847024694082
NSW,nsw21,2,0.9026569022854314,0.8957139319323569,-0.006942970353074451
NSW,nsw22,0,0.8654368932038835,0.8330420711974109,-0.03239482200647259
NSW,nsw22,1,0.8721359223300971,0.8224271844660194,-0.0497087378640777
NSW,nsw22,2,0.8674433656957928,0.8242394822006474,-0.04320388349514548
NSW,nsw23,0,0.7601005747126437,0.7137238766980146,-0.04637669801462907
NSW,nsw23,1,0.7601580459770115,0.7168194879832811,-0.04333855799373043
NSW,nsw23,2,0.7602455590386623,0.7277991118077325,-0.03244644723092982
NSW,nsw24,0,0.7043461016715333,0.6874698227300946,-0.016876278941438727
NSW,nsw24,1,0.7038661393787506,0.6979772607086197,-0.0058888786701309925
NSW,nsw24,2,0.7042368886947324,0.6928701170303267,-0.011366771664405695
NSW,nsw25,0,0.6488846874349545,0.6624488309165336,0.013564143481579083
NSW,nsw25,1,0.6488673419829322,0.6630790490066838,0.01421170702375163
NSW,nsw25,2,0.6489656328777261,0.6683405027868359,0.01937486990910975
NSW,nsw26,0,0.6728110599078341,0.6708360763660304,-0.0019749835418036987
NSW,nsw26,1,0.6732499451393461,0.6339697169190256,-0.03928022822032051
NSW,nsw26,2,0.673140223831468,0.653170945797674,-0.019969278033794002
