region,species_id,n_seed,auc_additive,auc_deep2,delta_auc,delta_sd
NZ,nz30,3,0.7908820779860871,0.77404220627025,-0.016839871715837045,0.0006054825863734456
NZ,nz31,3,0.9269393542757417,0.9322805410122164,0.0053411867364747305,0.000993069420298849
NZ,nz32,3,0.7547020316631866,0.7567639930373576,0.0020619613741711396,0.002299909775419232
NZ,nz33,3,0.8343068771410126,0.8067220847603452,-0.027584792380667394,0.0033686270308666455
NZ,nz34,3,0.5751030100247284,0.549595812186236,-0.025507197838492313,0.0006686325364797002
NZ,nz35,3,0.8113073439747832,0.6818252602603581,-0.12948208371442513,0.005524349744956237
NZ,nz36,3,0.6488288139686574,0.6242246841739115,-0.02460412979474595,0.0005303771584327004
NZ,nz37,3,0.5044238169585935,0.4863495420070252,-0.018074274951568343,0.0017470492907636966
NZ,nz38,3,0.8298281700164586,0.8259713573140024,-0.0038568127024560805,0.0024380297798300052
NZ,nz39,3,0.6837844574523989,0.5827833529934435,-0.10100110445895538,0.012735616725814842
NZ,nz40,3,0.6397354617745684,0.7198838333844616,0.08014837160989301,0.002368387154161502
NZ,nz41,3,0.982831498951782,0.9648611111111111,-0.017970387840670916,0.0023942695069479407
NZ,nz42,3,0.5578097611610248,0.5474893226729215,-0.010320438488103156,0.0020303768750437106
NZ,nz43,3,0.6599645334294181,0.6545441497077483,-0.005420383721669715,0.0011018316549903256
NZ,nz44,3,0.8617441603545747,0.8373372336245932,-0.024406926729981532,0.0061146705169147905
NZ,nz45,3,0.8891717019573947,0.9004212596574103,0.011249557700015456,0.00022930891104294904
NZ,nz46,3,0.8850553921241953,0.877434413249682,-0.007620978874513369,0.004677374496385164
NZ,nz47,3,0.7925615944675496,0.7931781462552685,0.0006165517877188739,0.0007407174148067784
NZ,nz48,3,0.6713217742631604,0.661773909822898,-0.00954786444026238,0.007045396437896316
NZ,nz49,3,0.9139752566464857,0.8832175484776695,-0.03075770816881629,0.004451798230555565
NZ,nz50,3,0.7716804528115523,0.7556632114365317,-0.01601724137502066,0.007121249848268133
NZ,nz51,3,0.6990501357866594,0.6921075849917869,-0.006942550794872567,0.005393205857565672
NZ,nz52,3,0.8403917087030472,0.827317379323843,-0.013074329379204127,0.0006397140133584641
SA,sa01,3,0.5446877534468775,0.5065693430656933,-0.03811841038118413,0.007559565416208364
SA,sa02,3,0.641051567239636,0.6525109538254129,0.011459386585776906,0.0006740815638691668
SA,sa03,3,0.8776041666666666,0.8854166666666666,0.007812499999999926,0.0026041666666666297
SA,sa04,3,0.9487179487179488,0.9427609427609428,-0.005957005957006063,0.002373776583763685
SA,sa05,3,0.9152709359605912,0.929720853858785,0.014449917898193757,0.0034599848121027194
SA,sa06,3,0.9428571428571427,0.942200328407225,-0.0006568144499178677,0.0011376359984031509
SA,sa07,3,0.8854166666666666,0.7427662037037037,-0.1426504629629629,0.01953285744414079
SA,sa08,3,0.9869791666666666,0.9701967592592592,-0.01678240740740744,0.0035082047607009506
SA,sa09,3,0.8767605633802816,0.8471830985915493,-0.029577464788732466,0.0021126760563380254
SA,sa10,3,0.5886365760209326,0.6107840388748715,0.02214746285393891,0.01044083232382175
SA,sa11,3,0.8353587962962964,0.8506944444444445,0.015335648148148103,0.0026519535271735334
SA,sa12,3,0.7943227899432279,0.7703163017031631,-0.024006488240064867,0.004874283601400355
SA,sa13,3,0.8697228697228697,0.8666148666148666,-0.0031080031080031136,0.008223003297792004
SA,sa14,3,0.852545155993432,0.8387520525451561,-0.01379310344827589,0.012344792203095221
SA,sa15,3,0.6231954582319545,0.5952960259529602,-0.027899432278994312,0.004970495846243251
SA,sa16,3,0.8223316912972085,0.8164203612479475,-0.005911330049261069,0.02227124050336417
SA,sa17,3,0.8482699333763164,0.8340855362131957,-0.014184397163120624,0.0019342359767891557
SA,sa18,3,0.7746999076638966,0.6917293233082707,-0.08297058435562588,0.0014981950523150454
SA,sa19,3,0.8383838383838386,0.8547008547008548,0.01631701631701628,0.0040374144698575145
SA,sa20,3,0.746244131455399,0.7887323943661971,0.0424882629107981,0.024050438524118593
SA,sa21,3,0.7769784172661871,0.7753182069728832,-0.0016602102933038394,0.001995324446853376
SA,sa22,3,0.8751343219428325,0.8891038039974211,0.013969482054588514,0.002684288845217433
SA,sa23,3,0.8616898148148148,0.8573495370370371,-0.004340277777777753,0.0008680555555555803
SA,sa24,3,0.7398521749666788,0.7343996122622075,-0.005452562704471216,0.001665785421648824
SA,sa25,3,0.7355607355607354,0.6951566951566951,-0.040404040404040366,0.007652570164565684
SA,sa26,3,0.6391111111111111,0.690864197530864,0.051753086419753035,0.0021021033732141524
SA,sa27,3,0.8736078736078737,0.8741258741258742,0.0005180005180004758,0.011689494013360988
SA,sa28,3,0.6976525821596243,0.7399061032863851,0.04225352112676065,0.004617914453733848
