region,taxon_group,species_id,split_id,seed,estimand,n_presence,n_PA_test,categorical_encoding,weight_decay,lambda_s,lambda_r,lambda_selection,basis_df,knots,background_scheme,integration_support,objective,model,n_background,converged,runtime_s,auc_roc,auprc,prg,artifact_path,skip_reason,optimizer,train_steps,steps_adam,final_loss,deep_lr,residual,disable_silu,warm_start,freeze_edges
AWT,bird,awt07,pa_holdout,0,global_conditional_density,158,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,37.385094362995005,0.4987368320701654,0.2324889446597808,0.0127590333960436,,,lbfgs,15.0,,,,,,,
AWT,bird,awt07,pa_holdout,0,global_conditional_density,158,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,88.51511954099988,0.5070785070785071,0.2358991116204022,0.0252246227420116,,,lbfgs,12.0,0.0,1548.413246967683,0.05,True,True,True,True
AWT,bird,awt07,pa_holdout,1,global_conditional_density,158,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,37.17965548198845,0.4984984984984985,0.2323850993408555,0.012302978885935,,,lbfgs,15.0,,,,,,,
AWT,bird,awt07,pa_holdout,1,global_conditional_density,158,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,93.38422961600008,0.5065541732208398,0.2352711158599075,0.0247567891866549,,,lbfgs,12.0,0.0,1548.248428848126,0.05,True,True,True,True
AWT,bird,awt07,pa_holdout,2,global_conditional_density,158,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,15.552329136000026,0.4986414986414986,0.2324507023868805,0.0143254180543219,,,lbfgs,15.0,,,,,,,
AWT,bird,awt07,pa_holdout,2,global_conditional_density,158,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,46.63005225099994,0.504313837647171,0.2337206842364056,0.0272286555081507,,,lbfgs,12.0,0.0,1548.1567561323889,0.05,True,True,True,True
AWT,bird,awt08,pa_holdout,0,global_conditional_density,231,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,19.70544493300008,0.7594117435547085,0.6338194307651486,0.5376371872798245,,,lbfgs,15.0,,,,,,,
AWT,bird,awt08,pa_holdout,0,global_conditional_density,231,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,47.34041589399999,0.7613534213081156,0.6278683931606048,0.5407373210168909,,,lbfgs,12.0,0.0,2313.688003899977,0.05,True,True,True,True
AWT,bird,awt08,pa_holdout,1,global_conditional_density,231,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,20.048901763000003,0.7590521736003739,0.633016471540587,0.5372655651340008,,,lbfgs,15.0,,,,,,,
AWT,bird,awt08,pa_holdout,1,global_conditional_density,231,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,49.199068059999945,0.7624321311711193,0.6280456405249377,0.5433670032642726,,,lbfgs,12.0,0.0,2313.678847507272,0.05,True,True,True,True
AWT,bird,awt08,pa_holdout,2,global_conditional_density,231,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,19.677829991999943,0.7590521736003739,0.6333132106919538,0.5372349552490343,,,lbfgs,15.0,,,,,,,
AWT,bird,awt08,pa_holdout,2,global_conditional_density,231,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,44.2475286670001,0.7588004746323397,0.6296093870883079,0.5342859519613421,,,lbfgs,12.0,0.0,2314.697120050284,0.05,True,True,True,True
AWT,bird,awt09,pa_holdout,0,global_conditional_density,112,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,16.967673888999798,0.7208666075125703,0.3898990749749275,0.5237853235552987,,,lbfgs,15.0,,,,,,,
AWT,bird,awt09,pa_holdout,0,global_conditional_density,112,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,58.30507254400004,0.7062259686483289,0.279963125007805,0.4731230244889357,,,lbfgs,12.0,0.0,1071.222873907717,0.05,True,True,True,True
AWT,bird,awt09,pa_holdout,1,global_conditional_density,112,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,24.49216500800003,0.7207926648920437,0.3953131040854763,0.5231734385896722,,,lbfgs,15.0,,,,,,,
AWT,bird,awt09,pa_holdout,1,global_conditional_density,112,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,60.79576327899986,0.7088139603667554,0.2781115926052169,0.479353583733961,,,lbfgs,12.0,0.0,1071.3373053562443,0.05,True,True,True,True
AWT,bird,awt09,pa_holdout,2,global_conditional_density,112,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,23.131896996000023,0.7207187222715173,0.3898783214767806,0.5231734385896722,,,lbfgs,15.0,,,,,,,
AWT,bird,awt09,pa_holdout,2,global_conditional_density,112,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,61.80183199899989,0.7067435669920141,0.2788670303586001,0.4780307750184749,,,lbfgs,12.0,0.0,1071.2437581898496,0.05,True,True,True,True
AWT,bird,awt10,pa_holdout,0,global_conditional_density,122,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,22.178412626999943,0.6833910034602075,0.4295322613211091,0.3958236082699542,,,lbfgs,15.0,,,,,,,
AWT,bird,awt10,pa_holdout,0,global_conditional_density,122,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,61.55940213000008,0.6692618223760093,0.4164007789713834,0.359064323003776,,,lbfgs,12.0,0.0,1115.7332084940083,0.05,True,True,True,True
AWT,bird,awt10,pa_holdout,1,global_conditional_density,122,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,23.55584916599992,0.6833910034602075,0.4296111911940866,0.3957816606981744,,,lbfgs,15.0,,,,,,,
AWT,bird,awt10,pa_holdout,1,global_conditional_density,122,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,58.05524377000006,0.6707859614434009,0.4208286895518418,0.364189659845198,,,lbfgs,12.0,0.0,1116.166053948457,0.05,True,True,True,True
AWT,bird,awt10,pa_holdout,2,global_conditional_density,122,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,25.10590183199997,0.6832674246169055,0.4295096673603392,0.3954608623199381,,,lbfgs,15.0,,,,,,,
AWT,bird,awt10,pa_holdout,2,global_conditional_density,122,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,59.54286508999985,0.6716922062942825,0.4219785149726356,0.367277129106826,,,lbfgs,12.0,0.0,1116.7240337932026,0.05,True,True,True,True
AWT,bird,awt11,pa_holdout,0,global_conditional_density,82,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,18.67942046500002,0.3984944718889673,0.0325870923140594,-0.2705163297706013,,,lbfgs,15.0,,,,,,,
AWT,bird,awt11,pa_holdout,0,global_conditional_density,82,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,50.75868227199999,0.4735356386732534,0.0420256630985087,0.0040526801882466,,,lbfgs,12.0,0.0,798.2013566201031,0.05,True,True,True,True
AWT,bird,awt11,pa_holdout,1,global_conditional_density,82,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,21.046237935000136,0.3984944718889673,0.0325870923140594,-0.2705163297706013,,,lbfgs,15.0,,,,,,,
AWT,bird,awt11,pa_holdout,1,global_conditional_density,82,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,59.25481228699982,0.4620089390731592,0.0415255125805403,-0.0104806437887267,,,lbfgs,12.0,0.0,799.2220732179744,0.05,True,True,True,True
AWT,bird,awt11,pa_holdout,2,global_conditional_density,82,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,24.587972019000063,0.3984944718889673,0.0325870923140594,-0.2705163297706013,,,lbfgs,15.0,,,,,,,
AWT,bird,awt11,pa_holdout,2,global_conditional_density,82,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,61.04700812500005,0.4735356386732533,0.0421158684195948,0.0140247569476309,,,lbfgs,12.0,0.0,798.2847322760542,0.05,True,True,True,True
AWT,bird,awt12,pa_holdout,0,global_conditional_density,32,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,20.85563434899996,0.8323688271604939,0.1523468313294956,0.6690772170417518,,,lbfgs,15.0,,,,,,,
AWT,bird,awt12,pa_holdout,0,global_conditional_density,32,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,58.93361621400004,0.8192515432098766,0.1599070649938066,0.6743601248738138,,,lbfgs,12.0,0.0,255.2019383956023,0.05,True,True,True,True
AWT,bird,awt12,pa_holdout,1,global_conditional_density,32,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,22.977870909999865,0.8321759259259259,0.1514539741866384,0.6679976051939643,,,lbfgs,15.0,,,,,,,
AWT,bird,awt12,pa_holdout,1,global_conditional_density,32,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,58.938870868000095,0.8186728395061729,0.1589118712961634,0.6751675778274716,,,lbfgs,12.0,0.0,255.18756159275327,0.05,True,True,True,True
AWT,bird,awt12,pa_holdout,2,global_conditional_density,32,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,21.25551426800007,0.8323688271604939,0.1523468313294956,0.6690772170417518,,,lbfgs,15.0,,,,,,,
AWT,bird,awt12,pa_holdout,2,global_conditional_density,32,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,57.57653279999977,0.8152006172839505,0.1569202035656413,0.6598600084218226,,,lbfgs,12.0,0.0,255.4212504937203,0.05,True,True,True,True
AWT,bird,awt13,pa_holdout,0,global_conditional_density,122,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,23.079563295999836,0.7468281430219146,0.4752929169770843,0.5368039602801683,,,lbfgs,15.0,,,,,,,
AWT,bird,awt13,pa_holdout,0,global_conditional_density,122,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,57.79218368000011,0.747240072499588,0.4843218515401108,0.5298248200955457,,,lbfgs,12.0,0.0,1082.128310043367,0.05,True,True,True,True
AWT,bird,awt13,pa_holdout,1,global_conditional_density,122,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,20.848790462000125,0.7471576866040534,0.4754510909522086,0.5363259435038501,,,lbfgs,15.0,,,,,,,
